Model,Backbone,Parameters (M),DSC,IoU,Acc,Recall,Precision
unet,None (Standard),7.85,0.8238,0.7004,0.9714,0.7871,0.8641
unet,small_data,7.85,0.8164,0.6897,0.9704,0.7751,0.8623
unet,ASPP,16.77,0.8310,0.7108,0.9719,0.8123,0.8506
attention_unet,None (Standard),7.98,0.8160,0.6892,0.9706,0.7663,0.8725
attention_unet,small_data,7.98,0.7979,0.6637,0.9685,0.7323,0.8764
attention_unet,ASPP,16.90,0.8367,0.7192,0.9724,0.8303,0.8431
attention_unet,ASPP + small_data,16.90,0.8206,0.6958,0.9696,0.8187,0.8225
deeplab_res50,ResNet-50,18.37,0.8430,0.7286,0.9738,0.8273,0.8593
deeplab_res50,no_aspp,10.70,0.8389,0.7225,0.9738,0.8016,0.8798
deeplab_res50,no_decoder,16.48,0.8418,0.7269,0.9732,0.8385,0.8452
deeplab_res50,small_data,18.37,0.8140,0.6864,0.9694,0.7867,0.8434
res50,ResNet-50,23.51,0.8401,0.7242,0.9729,0.8372,0.8430
res50,small_data,23.51,0.8024,0.6700,0.9680,0.7634,0.8457
swin_unet,Swin-T (Window=8),27.17,0.7623,0.6158,0.9600,0.7532,0.7716
swin_unet,Swin-T (Window=8),27.17,0.7260,0.5699,0.9552,0.6973,0.7571
swin_unet,Swin-T (Window=8),27.17,0.7680,0.6234,0.9623,0.7346,0.8046
